1TH 1:1.1 Παῦλος N-NSM 3972 Παῦλος ! Παῦλος
1TH 1:1.2 καὶ CONJ 2532 καί ! καί
1TH 1:1.3 Σιλουανὸς N-NSM 4610 Σιλουανός ! Σιλουανός
1TH 1:1.4 καὶ CONJ 2532 καί ! καί
1TH 1:1.5 Τιμόθεος N-NSM 5095 Τιμόθεος ! Τιμόθεος
1TH 1:1.6 τῇ T-DSF 3588 ὁ ! ὁ
1TH 1:1.7 ἐκκλησίᾳ N-DSF 1577 ἐκκλησία ! ἐκκλησία
1TH 1:1.8 Θεσσαλονικέων N-GPM 2331 Θεσσαλονικεύς ! Θεσσαλονικεύς
1TH 1:1.9 ἐν PREP 1722 ἐν ! ἐν
1TH 1:1.10 θεῷ N-DSM 2316 θεός ! θεός
1TH 1:1.11 πατρὶ N-DSM 3962 πατήρ ! πατήρ
1TH 1:1.12 καὶ CONJ 2532 καί ! καί
1TH 1:1.13 κυρίῳ N-DSM 2962 κύριος ! κύριος
1TH 1:1.14 Ἰησοῦ N-DSM 2424 Ἰησοῦς ! Ἰησοῦς
1TH 1:1.15 Χριστῷ· N-DSM 5547 Χριστός ! Χριστός
1TH 1:1.16 χάρις N-NSF 5485 χάρις ! χάρις
1TH 1:1.17 ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
1TH 1:1.18 καὶ CONJ 2532 καί ! καί
1TH 1:1.19 εἰρήνη. N-NSF 1515 εἰρήνη ! εἰρήνη
1TH 1:2.1 Εὐχαριστοῦμεν V-PAI-1P 2168 εὐχαριστέω ! εὐχαριστέω
1TH 1:2.2 τῷ T-DSM 3588 ὁ ! ὁ
1TH 1:2.3 θεῷ N-DSM 2316 θεός ! θεός
1TH 1:2.4 πάντοτε ADV 3842 πάντοτε ! πάντοτε
1TH 1:2.5 περὶ PREP 4012 περί ! περί
1TH 1:2.6 πάντων A-GPM 3956 πᾶς ! πᾶς
1TH 1:2.7 ὑμῶν, P-2GP 5210 ὑμεῖς ! σύ
1TH 1:2.8 μνείαν N-ASF 3417 μνεία ! μνεία
1TH 1:2.9 ποιούμενοι V-PMP-NPM 4160 ποιέω ! ποιέω
1TH 1:2.10 ἐπὶ PREP 1909 ἐπί ! ἐπί
1TH 1:2.11 τῶν T-GPF 3588 ὁ ! ὁ
1TH 1:2.12 προσευχῶν N-GPF 4335 προσευχή ! προσευχή
1TH 1:2.13 ἡμῶν, P-1GP 2248 ἡμᾶς ! ἐγώ
1TH 1:3.1 ἀδιαλείπτως ADV 89 ἀδιαλείπτως ! ἀδιαλείπτως
1TH 1:3.2 μνημονεύοντες V-PAP-NPM 3421 μνημονεύω ! μνημονεύω
1TH 1:3.3 ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
1TH 1:3.4 τοῦ T-GSN 3588 ὁ ! ὁ
1TH 1:3.5 ἔργου N-GSN 2041 ἔργον ! ἔργον
1TH 1:3.6 τῆς T-GSF 3588 ὁ ! ὁ
1TH 1:3.7 πίστεως N-GSF 4102 πίστις ! πίστις
1TH 1:3.8 καὶ CONJ 2532 καί ! καί
1TH 1:3.9 τοῦ T-GSM 3588 ὁ ! ὁ
1TH 1:3.10 κόπου N-GSM 2873 κόπος ! κόπος
1TH 1:3.11 τῆς T-GSF 3588 ὁ ! ὁ
1TH 1:3.12 ἀγάπης N-GSF 26 ἀγάπη ! ἀγάπη
1TH 1:3.13 καὶ CONJ 2532 καί ! καί
1TH 1:3.14 τῆς T-GSF 3588 ὁ ! ὁ
1TH 1:3.15 ὑπομονῆς N-GSF 5281 ὑπομονή ! ὑπομονή
1TH 1:3.16 τῆς T-GSF 3588 ὁ ! ὁ
1TH 1:3.17 ἐλπίδος N-GSF 1680 ἐλπίς ! ἐλπίς
1TH 1:3.18 τοῦ T-GSM 3588 ὁ ! ὁ
1TH 1:3.19 κυρίου N-GSM 2962 κύριος ! κύριος
1TH 1:3.20 ἡμῶν P-1GP 2248 ἡμᾶς ! ἐγώ
1TH 1:3.21 Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
1TH 1:3.22 Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
1TH 1:3.23 ἔμπροσθεν PREP 1715 ἔμπροσθεν ! ἔμπροσθεν
1TH 1:3.24 τοῦ T-GSM 3588 ὁ ! ὁ
1TH 1:3.25 θεοῦ N-GSM 2316 θεός ! θεός
1TH 1:3.26 καὶ CONJ 2532 καί ! καί
1TH 1:3.27 πατρὸς N-GSM 3962 πατήρ ! πατήρ
1TH 1:3.28 ἡμῶν, P-1GP 2248 ἡμᾶς ! ἐγώ
1TH 1:4.1 εἰδότες, V-RAP-NPM 1492 εἴδω ! οἶδα
1TH 1:4.2 ἀδελφοὶ N-VPM 80 ἀδελφός ! ἀδελφός
1TH 1:4.3 ἠγαπημένοι V-RPP-NPM 25 ἀγαπάω ! ἀγαπάω
1TH 1:4.4 ὑπὸ PREP 5259 ὑπό ! ὑπό
1TH 1:4.5 τοῦ T-GSM 3588 ὁ ! ὁ
1TH 1:4.6 θεοῦ, N-GSM 2316 θεός ! θεός
1TH 1:4.7 τὴν T-ASF 3588 ὁ ! ὁ
1TH 1:4.8 ἐκλογὴν N-ASF 1589 ἐκλογή ! ἐκλογή
1TH 1:4.9 ὑμῶν, P-2GP 5210 ὑμεῖς ! σύ
1TH 1:5.1 ὅτι CONJ 3754 ὅτι ! ὅτι
1TH 1:5.2 τὸ T-NSN 3588 ὁ ! ὁ
1TH 1:5.3 εὐαγγέλιον N-NSN 2098 εὐαγγέλιον ! εὐαγγέλιον
1TH 1:5.4 ἡμῶν P-1GP 2248 ἡμᾶς ! ἐγώ
1TH 1:5.5 οὐκ PRT-N 3756 οὐ ! οὐ
1TH 1:5.6 ἐγενήθη V-AOI-3S 1096 γίνομαι ! γίνομαι
1TH 1:5.7 εἰς PREP 1519 εἰς ! εἰς
1TH 1:5.8 ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
1TH 1:5.9 ἐν PREP 1722 ἐν ! ἐν
1TH 1:5.10 λόγῳ N-DSM 3056 λόγος ! λόγος
1TH 1:5.11 μόνον ADV 3440 μόνον ! μόνος
1TH 1:5.12 ἀλλὰ CONJ 235 ἀλλά ! ἀλλά
1TH 1:5.13 καὶ CONJ 2532 καί ! καί
1TH 1:5.14 ἐν PREP 1722 ἐν ! ἐν
1TH 1:5.15 δυνάμει N-DSF 1411 δύναμις ! δύναμις
1TH 1:5.16 καὶ CONJ 2532 καί ! καί
1TH 1:5.17 ἐν PREP 1722 ἐν ! ἐν
1TH 1:5.18 πνεύματι N-DSN 4151 πνεῦμα ! πνεῦμα
1TH 1:5.19 ἁγίῳ A-DSN 40 ἅγιος ! ἅγιος
1TH 1:5.20 καὶ CONJ 2532 καί ! καί
1TH 1:5.21 πληροφορίᾳ N-DSF 4136 πληροφορία ! πληροφορία
1TH 1:5.22 πολλῇ, A-DSF 4183 πολύς ! πολύς
1TH 1:5.23 καθὼς ADV 2531 καθώς ! καθώς
1TH 1:5.24 οἴδατε V-RAI-2P 1492 εἴδω ! οἶδα
1TH 1:5.25 οἷοι K-NPM 3634 οἷος ! οἷος
1TH 1:5.26 ἐγενήθημεν V-AOI-1P 1096 γίνομαι ! γίνομαι
1TH 1:5.27 ἐν PREP 1722 ἐν ! ἐν
1TH 1:5.28 ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
1TH 1:5.29 δι' PREP 1223 διά ! διά
1TH 1:5.30 ὑμᾶς. P-2AP 5210 ὑμεῖς ! σύ
1TH 1:6.1 καὶ CONJ 2532 καί ! καί
1TH 1:6.2 ὑμεῖς P-2NP 5210 ὑμεῖς ! σύ
1TH 1:6.3 μιμηταὶ N-NPM 3402 μιμητής ! μιμητής
1TH 1:6.4 ἡμῶν P-1GP 2248 ἡμᾶς ! ἐγώ
1TH 1:6.5 ἐγενήθητε V-AOI-2P 1096 γίνομαι ! γίνομαι
1TH 1:6.6 καὶ CONJ 2532 καί ! καί
1TH 1:6.7 τοῦ T-GSM 3588 ὁ ! ὁ
1TH 1:6.8 κυρίου, N-GSM 2962 κύριος ! κύριος
1TH 1:6.9 δεξάμενοι V-ADP-NPM 1209 δέχομαι ! δέχομαι
1TH 1:6.10 τὸν T-ASM 3588 ὁ ! ὁ
1TH 1:6.11 λόγον N-ASM 3056 λόγος ! λόγος
1TH 1:6.12 ἐν PREP 1722 ἐν ! ἐν
1TH 1:6.13 θλίψει N-DSF 2347 θλῖψις ! θλῖψις
1TH 1:6.14 πολλῇ A-DSF 4183 πολύς ! πολύς
1TH 1:6.15 μετὰ PREP 3326 μετά ! μετά
1TH 1:6.16 χαρᾶς N-GSF 5479 χαρά ! χαρά
1TH 1:6.17 πνεύματος N-GSN 4151 πνεῦμα ! πνεῦμα
1TH 1:6.18 ἁγίου, A-GSN 40 ἅγιος ! ἅγιος
1TH 1:7.1 ὥστε CONJ 5620 ὥστε ! ὥστε
1TH 1:7.2 γενέσθαι V-2ADN 1096 γίνομαι ! γίνομαι
1TH 1:7.3 ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
1TH 1:7.4 τύπον N-ASM 5179 τύπος ! τύπος
1TH 1:7.5 πᾶσιν A-DPM 3956 πᾶς ! πᾶς
1TH 1:7.6 τοῖς T-DPM 3588 ὁ ! ὁ
1TH 1:7.7 πιστεύουσιν V-PAP-DPM 4100 πιστεύω ! πιστεύω
1TH 1:7.8 ἐν PREP 1722 ἐν ! ἐν
1TH 1:7.9 τῇ T-DSF 3588 ὁ ! ὁ
1TH 1:7.10 Μακεδονίᾳ N-DSF 3109 Μακεδονία ! Μακεδονία
1TH 1:7.11 καὶ CONJ 2532 καί ! καί
1TH 1:7.12 ἐν PREP 1722 ἐν ! ἐν
1TH 1:7.13 τῇ T-DSF 3588 ὁ ! ὁ
1TH 1:7.14 Ἀχαΐᾳ. N-DSF 882 Ἀχαΐα ! Ἀχαΐα
1TH 1:8.1 ἀφ' PREP 575 ἀπό ! ἀπό
1TH 1:8.2 ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
1TH 1:8.3 γὰρ CONJ 1063 γάρ ! γάρ
1TH 1:8.4 ἐξήχηται V-RPI-3S 1837 ἐξηχέομαι ! ἐξηχέω
