2TI 1:1.1 Παῦλος N-NSM 3972 Παῦλος ! Παῦλος
2TI 1:1.2 ἀπόστολος N-NSM 652 ἀπόστολος ! ἀπόστολος
2TI 1:1.3 Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
2TI 1:1.4 Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2TI 1:1.5 διὰ PREP 1223 διά ! διά
2TI 1:1.6 θελήματος N-GSN 2307 θέλημα ! θέλημα
2TI 1:1.7 θεοῦ N-GSM 2316 θεός ! θεός
2TI 1:1.8 κατ' PREP 2596 κατά ! κατά
2TI 1:1.9 ἐπαγγελίαν N-ASF 1860 ἐπαγγελία ! ἐπαγγελία
2TI 1:1.10 ζωῆς N-GSF 2222 ζωή ! ζωή
2TI 1:1.11 τῆς T-GSF 3588 ὁ ! ὁ
2TI 1:1.12 ἐν PREP 1722 ἐν ! ἐν
2TI 1:1.13 Χριστῷ N-DSM 5547 Χριστός ! Χριστός
2TI 1:1.14 Ἰησοῦ N-DSM 2424 Ἰησοῦς ! Ἰησοῦς
2TI 1:2.1 Τιμοθέῳ N-DSM 5095 Τιμόθεος ! Τιμόθεος
2TI 1:2.2 ἀγαπητῷ A-DSN 27 ἀγαπητός ! ἀγαπητός
2TI 1:2.3 τέκνῳ· N-DSN 5043 τέκνον ! τέκνον
2TI 1:2.4 χάρις, N-NSF 5485 χάρις ! χάρις
2TI 1:2.5 ἔλεος, N-NSN 1656 ἔλεος ! ἔλεος
2TI 1:2.6 εἰρήνη N-NSF 1515 εἰρήνη ! εἰρήνη
2TI 1:2.7 ἀπὸ PREP 575 ἀπό ! ἀπό
2TI 1:2.8 θεοῦ N-GSM 2316 θεός ! θεός
2TI 1:2.9 πατρὸς N-GSM 3962 πατήρ ! πατήρ
2TI 1:2.10 καὶ CONJ 2532 καί ! καί
2TI 1:2.11 Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
2TI 1:2.12 Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2TI 1:2.13 τοῦ T-GSM 3588 ὁ ! ὁ
2TI 1:2.14 κυρίου N-GSM 2962 κύριος ! κύριος
2TI 1:2.15 ἡμῶν. P-1GP 2248 ἡμᾶς ! ἐγώ
2TI 1:3.1 Χάριν N-ASF 5485 χάρις ! χάρις
2TI 1:3.2 ἔχω V-PAI-1S 2192 ἔχω ! ἔχω
2TI 1:3.3 τῷ T-DSM 3588 ὁ ! ὁ
2TI 1:3.4 θεῷ, N-DSM 2316 θεός ! θεός
2TI 1:3.5 ᾧ R-DSM 3739 ὅς ! ὅς
2TI 1:3.6 λατρεύω V-PAI-1S 3000 λατρεύω ! λατρεύω
2TI 1:3.7 ἀπὸ PREP 575 ἀπό ! ἀπό
2TI 1:3.8 προγόνων N-GPM 4269 πρόγονος ! πρόγονος
2TI 1:3.9 ἐν PREP 1722 ἐν ! ἐν
2TI 1:3.10 καθαρᾷ A-DSF 2513 καθαρός ! καθαρός
2TI 1:3.11 συνειδήσει, N-DSF 4893 συνείδησις ! συνείδησις
2TI 1:3.12 ὡς ADV 5613 ὡς ! ὡς
2TI 1:3.13 ἀδιάλειπτον A-ASF 88 ἀδιάλειπτος ! ἀδιάλειπτος
2TI 1:3.14 ἔχω V-PAI-1S 2192 ἔχω ! ἔχω
2TI 1:3.15 τὴν T-ASF 3588 ὁ ! ὁ
2TI 1:3.16 περὶ PREP 4012 περί ! περί
2TI 1:3.17 σοῦ P-2GS 4771 σύ ! σύ
2TI 1:3.18 μνείαν N-ASF 3417 μνεία ! μνεία
2TI 1:3.19 ἐν PREP 1722 ἐν ! ἐν
2TI 1:3.20 ταῖς T-DPF 3588 ὁ ! ὁ
2TI 1:3.21 δεήσεσίν N-DPF 1162 δέησις ! δέησις
2TI 1:3.22 μου P-1GS 1473 ἐγώ ! ἐγώ
