EPH 1:5.15 αὐτοῦ, P-GSM 846 αὐτός ! αὐτός
EPH 1:6.1 εἰς PREP 1519 εἰς ! εἰς
EPH 1:6.2 ἔπαινον N-ASM 1868 ἔπαινος ! ἔπαινος
EPH 1:6.3 δόξης N-GSF 1391 δόξα ! δόξα
EPH 1:6.4 τῆς T-GSF 3588 ὁ ! ὁ
EPH 1:6.5 χάριτος N-GSF 5485 χάρις ! χάρις
EPH 1:6.6 αὐτοῦ P-GSM 846 αὐτός ! αὐτός
EPH 1:6.7 ἧς R-GSF 3739 ὅς ! ὅς
EPH 1:6.8 ἐχαρίτωσεν V-AAI-3S 5487 χαριτόω ! χαριτόω
EPH 1:6.9 ἡμᾶς P-1AP 2248 ἡμᾶς ! ἐγώ
EPH 1:6.10 ἐν PREP 1722 ἐν ! ἐν
EPH 1:6.11 τῷ T-DSM 3588 ὁ ! ὁ
EPH 1:6.12 ἠγαπημένῳ, V-RPP-DSM 25 ἀγαπάω ! ἀγαπάω
EPH 1:7.1 ἐν PREP 1722 ἐν ! ἐν
EPH 1:7.2 ᾧ R-DSM 3739 ὅς ! ὅς
EPH 1:7.3 ἔχομεν V-PAI-1P 2192 ἔχω ! ἔχω
EPH 1:7.4 τὴν T-ASF 3588 ὁ ! ὁ
EPH 1:7.5 ἀπολύτρωσιν N-ASF 629 ἀπολύτρωσις ! ἀπολύτρωσις
EPH 1:7.6 διὰ PREP 1223 διά ! διά
EPH 1:7.7 τοῦ T-GSN 3588 ὁ ! ὁ
EPH 1:7.8 αἵματος N-GSN 129 αἷμα ! αἷμα
EPH 1:7.9 αὐτοῦ, P-GSM 846 αὐτός ! αὐτός
EPH 1:7.10 τὴν T-ASF 3588 ὁ ! ὁ
EPH 1:7.11 ἄφεσιν N-ASF 859 ἄφεσις ! ἄφεσις
EPH 1:7.12 τῶν T-GPN 3588 ὁ ! ὁ
EPH 1:7.13 παραπτωμάτων, N-GPN 3900 παράπτωμα ! παράπτωμα
EPH 1:7.14 κατὰ PREP 2596 κατά ! κατά
EPH 1:7.15 τὸ T-ASN 3588 ὁ ! ὁ
EPH 1:7.16 πλοῦτος N-ASN 4149 πλοῦτος ! πλοῦτος
EPH 1:7.17 τῆς T-GSF 3588 ὁ ! ὁ
EPH 1:7.18 χάριτος N-GSF 5485 χάρις ! χάρις
EPH 1:7.19 αὐτοῦ, P-GSM 846 αὐτός ! αὐτός
EPH 1:8.1 ἧς R-GSF 3739 ὅς ! ὅς
EPH 1:8.2 ἐπερίσσευσεν V-AAI-3S 4052 περισσεύω ! περισσεύω
EPH 1:8.3 εἰς PREP 1519 εἰς ! εἰς
EPH 1:8.4 ἡμᾶς P-1AP 2248 ἡμᾶς ! ἐγώ
EPH 1:8.5 ἐν PREP 1722 ἐν ! ἐν
EPH 1:8.6 πάσῃ A-DSF 3956 πᾶς ! πᾶς
EPH 1:8.7 σοφίᾳ N-DSF 4678 σοφία ! σοφία
EPH 1:8.8 καὶ CONJ 2532 καί ! καί
EPH 1:8.9 φρονήσει N-DSF 5428 φρόνησις ! φρόνησις
EPH 1:9.1 γνωρίσας V-AAP-NSM 1107 γνωρίζω ! γνωρίζω
EPH 1:9.2 ἡμῖν P-1DP 2248 ἡμᾶς ! ἐγώ
EPH 1:9.3 τὸ T-ASN 3588 ὁ ! ὁ
EPH 1:9.4 μυστήριον N-ASN 3466 μυστήριον ! μυστήριον
EPH 1:9.5 τοῦ T-GSN 3588 ὁ ! ὁ
EPH 1:9.6 θελήματος N-GSN 2307 θέλημα ! θέλημα
EPH 1:9.7 αὐτοῦ, P-GSM 846 αὐτός ! αὐτός
EPH 1:9.8 κατὰ PREP 2596 κατά ! κατά
EPH 1:9.9 τὴν T-ASF 3588 ὁ ! ὁ
EPH 1:9.10 εὐδοκίαν N-ASF 2107 εὐδοκία ! εὐδοκία
EPH 1:9.11 αὐτοῦ P-GSM 846 αὐτός ! αὐτός
EPH 1:9.12 ἣν R-ASF 3739 ὅς ! ὅς
EPH 1:9.13 προέθετο V-2AMI-3S 4388 προτίθεμαι ! προτίθημι
EPH 1:9.14 ἐν PREP 1722 ἐν ! ἐν
EPH 1:9.15 αὐτῷ P-DSM 846 αὐτός ! αὐτός
EPH 1:10.1 εἰς PREP 1519 εἰς ! εἰς
EPH 1:10.2 οἰκονομίαν N-ASF 3622 οἰκονομία ! οἰκονομία
EPH 1:10.3 τοῦ T-GSN 3588 ὁ ! ὁ
EPH 1:10.4 πληρώματος N-GSN 4138 πλήρωμα ! πλήρωμα
EPH 1:10.5 τῶν T-GPM 3588 ὁ ! ὁ
EPH 1:10.6 καιρῶν, N-GPM 2540 καιρός ! καιρός
EPH 1:10.7 ἀνακεφαλαιώσασθαι V-ADN 346 ἀνακεφαλαίομαι ! ἀνακεφαλαιόω
EPH 1:10.8 τὰ T-APN 3588 ὁ ! ὁ
EPH 1:10.9 πάντα A-APN 3956 πᾶς ! πᾶς
EPH 1:10.10 ἐν PREP 1722 ἐν ! ἐν
