2PE 1:5.1 καὶ CONJ 2532 καί ! καί
2PE 1:5.2 αὐτὸ P-NSN 846 αὐτός ! αὐτός
2PE 1:5.3 τοῦτο D-NSN 3778 οὗτος ! οὗτος
2PE 1:5.4 δὲ CONJ 1161 δέ ! δέ
2PE 1:5.5 σπουδὴν N-ASF 4710 σπουδή ! σπουδή
2PE 1:5.6 πᾶσαν A-ASF 3956 πᾶς ! πᾶς
2PE 1:5.7 παρεισενέγκαντες V-AAP-NPM 3923 παρεισφέρω ! παρεισφέρω
2PE 1:5.8 ἐπιχορηγήσατε V-AAM-2P 2023 ἐπιχορηγέω ! ἐπιχορηγέω
2PE 1:5.9 ἐν PREP 1722 ἐν ! ἐν
2PE 1:5.10 τῇ T-DSF 3588 ὁ ! ὁ
2PE 1:5.11 πίστει N-DSF 4102 πίστις ! πίστις
2PE 1:5.12 ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
2PE 1:5.13 τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:5.14 ἀρετήν, N-ASF 703 ἀρετή ! ἀρετή
2PE 1:5.15 ἐν PREP 1722 ἐν ! ἐν
2PE 1:5.16 δὲ CONJ 1161 δέ ! δέ
2PE 1:5.17 τῇ T-DSF 3588 ὁ ! ὁ
2PE 1:5.18 ἀρετῇ N-DSF 703 ἀρετή ! ἀρετή
2PE 1:5.19 τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:5.20 γνῶσιν, N-ASF 1108 γνῶσις ! γνῶσις
2PE 1:6.1 ἐν PREP 1722 ἐν ! ἐν
2PE 1:6.2 δὲ CONJ 1161 δέ ! δέ
2PE 1:6.3 τῇ T-DSF 3588 ὁ ! ὁ
2PE 1:6.4 γνώσει N-DSF 1108 γνῶσις ! γνῶσις
2PE 1:6.5 τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:6.6 ἐγκράτειαν, N-ASF 1466 ἐγκράτεια ! ἐγκράτεια
2PE 1:6.7 ἐν PREP 1722 ἐν ! ἐν
2PE 1:6.8 δὲ CONJ 1161 δέ ! δέ
2PE 1:6.9 τῇ T-DSF 3588 ὁ ! ὁ
2PE 1:6.10 ἐγκρατείᾳ N-DSF 1466 ἐγκράτεια ! ἐγκράτεια
2PE 1:6.11 τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:6.12 ὑπομονήν, N-ASF 5281 ὑπομονή ! ὑπομονή
2PE 1:6.13 ἐν PREP 1722 ἐν ! ἐν
2PE 1:6.14 δὲ CONJ 1161 δέ ! δέ
2PE 1:6.15 τῇ T-DSF 3588 ὁ ! ὁ
2PE 1:6.16 ὑπομονῇ N-DSF 5281 ὑπομονή ! ὑπομονή
2PE 1:6.17 τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:6.18 εὐσέβειαν, N-ASF 2150 εὐσέβεια ! εὐσέβεια
