GA 1:6.12 Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
GA 1:6.13 εἰς PREP 1519 εἰς ! εἰς
GA 1:6.14 ἕτερον A-ASN 2087 ἕτερος ! ἕτερος
GA 1:6.15 εὐαγγέλιον, N-ASN 2098 εὐαγγέλιον ! εὐαγγέλιον
GA 1:7.1 ὃ R-NSN 3739 ὅς ! ὅς
GA 1:7.2 οὐκ PRT-N 3756 οὐ ! οὐ
GA 1:7.3 ἔστιν V-PAI-3S 1510 εἰμί ! εἰμί
GA 1:7.4 ἄλλο· A-NSN 243 ἄλλος ! ἄλλος
GA 1:7.5 εἰ COND 1487 εἰ ! εἰ
GA 1:7.6 μή PRT-N 3361 μή ! μή
GA 1:7.7 τινές X-NPM 5100 τὶς ! τὶς
GA 1:7.8 εἰσιν V-PAI-3P 1510 εἰμί ! εἰμί
GA 1:7.9 οἱ T-NPM 3588 ὁ ! ὁ
GA 1:7.10 ταράσσοντες V-PAP-NPM 5015 ταράσσω ! ταράσσω
GA 1:7.11 ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
GA 1:7.12 καὶ CONJ 2532 καί ! καί
GA 1:7.13 θέλοντες V-PAP-NPM 2309 θέλω ! θέλω
GA 1:7.14 μεταστρέψαι V-AAN 3344 μεταστρέφω ! μεταστρέφω
GA 1:7.15 τὸ T-ASN 3588 ὁ ! ὁ
GA 1:7.16 εὐαγγέλιον N-ASN 2098 εὐαγγέλιον ! εὐαγγέλιον
GA 1:7.17 τοῦ T-GSM 3588 ὁ ! ὁ
GA 1:7.18 Χριστοῦ. N-GSM 5547 Χριστός ! Χριστός
GA 1:8.1 ἀλλὰ CONJ 235 ἀλλά ! ἀλλά
GA 1:8.2 καὶ CONJ 2532 καί ! καί
GA 1:8.3 ἐὰν COND 1437 ἐάν ! ἐάν
GA 1:8.4 ἡμεῖς P-1NP 2248 ἡμᾶς ! ἐγώ
GA 1:8.5 ἢ PRT 2228 ἤ ! ἤ
GA 1:8.6 ἄγγελος N-NSM 32 ἄγγελος ! ἄγγελος
GA 1:8.7 ἐξ PREP 1537 ἐκ ! ἐκ
GA 1:8.8 οὐρανοῦ N-GSM 3772 οὐρανός ! οὐρανός
GA 1:8.9 εὐαγγελίσηται V-AMS-3S 2097 εὐαγγελίζω ! εὐαγγελίζω
GA 1:8.10 παρ’ PREP 3844 παρά ! παρά
GA 1:8.11 ὃ R-ASN 3739 ὅς ! ὅς
GA 1:8.12 εὐηγγελισάμεθα V-AMI-1P 2097 εὐαγγελίζω ! εὐαγγελίζω
GA 1:8.13 ὑμῖν, P-2DP 5210 ὑμεῖς ! σύ
GA 1:8.14 ἀνάθεμα N-NSN 331 ἀνάθεμα ! ἀνάθεμα
GA 1:8.15 ἔστω. V-PAM-3S 1510 εἰμί ! εἰμί
GA 1:9.1 ὡς ADV 5613 ὡς ! ὡς
GA 1:9.2 προειρήκαμεν, V-RAI-1P 4280 προερέω ! προεῖπον
GA 1:9.3 καὶ CONJ 2532 καί ! καί
GA 1:9.4 ἄρτι ADV 737 ἄρτι ! ἄρτι
GA 1:9.5 πάλιν ADV 3825 πάλιν ! πάλιν
GA 1:9.6 λέγω, V-PAI-1S 3004 λέγω ! λέγω
GA 1:9.7 εἴ COND 1487 εἰ ! εἰ
GA 1:9.8 τις X-NSM 5100 τὶς ! τὶς
GA 1:9.9 ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
GA 1:9.10 εὐαγγελίζεται V-PMI-3S 2097 εὐαγγελίζω ! εὐαγγελίζω
GA 1:9.11 παρ’ PREP 3844 παρά ! παρά
GA 1:9.12 ὃ R-ASN 3739 ὅς ! ὅς
GA 1:9.13 παρελάβετε, V-2AAI-2P 3880 παραλαμβάνω ! παραλαμβάνω
GA 1:9.14 ἀνάθεμα N-NSN 331 ἀνάθεμα ! ἀνάθεμα
GA 1:9.15 ἔστω. V-PAM-3S 1510 εἰμί ! εἰμί
GA 1:10.1 ἄρτι ADV 737 ἄρτι ! ἄρτι
GA 1:10.2 γὰρ CONJ 1063 γάρ ! γάρ
GA 1:10.3 ἀνθρώπους N-APM 444 ἄνθρωπος ! ἄνθρωπος
GA 1:10.4 πείθω V-PAI-1S 3982 πείθω ! πείθω
GA 1:10.5 ἢ PRT 2228 ἤ ! ἤ
GA 1:10.6 τὸν T-ASM 3588 ὁ ! ὁ
GA 1:10.7 θεόν; N-ASM 2316 θεός ! θεός
GA 1:10.8 ἢ PRT 2228 ἤ ! ἤ
GA 1:10.9 ζητῶ V-PAI-1S 2212 ζητέω ! ζητέω
GA 1:10.10 ἀνθρώποις N-DPM 444 ἄνθρωπος ! ἄνθρωπος
GA 1:10.11 ἀρέσκειν; V-PAN 700 ἀρέσκω ! ἀρέσκω
GA 1:10.12 εἰ COND 1487 εἰ ! εἰ
GA 1:10.13 ἔτι ADV 2089 ἔτι ! ἔτι
GA 1:10.14 ἀνθρώποις N-DPM 444 ἄνθρωπος ! ἄνθρωπος
GA 1:10.15 ἤρεσκον, V-IAI-1S 700 ἀρέσκω ! ἀρέσκω
GA 1:10.16 Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
GA 1:10.17 δοῦλος N-NSM 1401 δοῦλος ! δοῦλος (2)
