2TH 1:5.2 τῆς T-GSF 3588 ὁ ! ὁ
2TH 1:5.3 δικαίας A-GSF 1342 δίκαιος ! δίκαιος
2TH 1:5.4 κρίσεως N-GSF 2920 κρίσις ! κρίσις
2TH 1:5.5 τοῦ T-GSM 3588 ὁ ! ὁ
2TH 1:5.6 θεοῦ, N-GSM 2316 θεός ! θεός
2TH 1:5.7 εἰς PREP 1519 εἰς ! εἰς
2TH 1:5.8 τὸ T-ASN 3588 ὁ ! ὁ
2TH 1:5.9 καταξιωθῆναι V-APN 2661 καταξιόω ! καταξιόω
2TH 1:5.10 ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
2TH 1:5.11 τῆς T-GSF 3588 ὁ ! ὁ
2TH 1:5.12 βασιλείας N-GSF 932 βασιλεία ! βασιλεία
2TH 1:5.13 τοῦ T-GSM 3588 ὁ ! ὁ
2TH 1:5.14 θεοῦ, N-GSM 2316 θεός ! θεός
2TH 1:5.15 ὑπὲρ PREP 5228 ὑπέρ ! ὑπέρ
2TH 1:5.16 ἧς R-GSF 3739 ὅς ! ὅς
2TH 1:5.17 καὶ CONJ 2532 καί ! καί
2TH 1:5.18 πάσχετε, V-PAI-2P 3958 πάσχω ! πάσχω
2TH 1:6.1 εἴπερ COND 1512 εἴ περ ! εἴπερ
2TH 1:6.2 δίκαιον A-NSN 1342 δίκαιος ! δίκαιος
2TH 1:6.3 παρὰ PREP 3844 παρά ! παρά
2TH 1:6.4 θεῷ N-DSM 2316 θεός ! θεός
2TH 1:6.5 ἀνταποδοῦναι V-2AAN 467 ἀνταποδίδωμι ! ἀνταποδίδωμι
2TH 1:6.6 τοῖς T-DPM 3588 ὁ ! ὁ
2TH 1:6.7 θλίβουσιν V-PAP-DPM 2346 θλίβω ! θλίβω
2TH 1:6.8 ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
2TH 1:6.9 θλῖψιν N-ASF 2347 θλῖψις ! θλῖψις
2TH 1:7.1 καὶ CONJ 2532 καί ! καί
2TH 1:7.2 ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
2TH 1:7.3 τοῖς T-DPM 3588 ὁ ! ὁ
2TH 1:7.4 θλιβομένοις V-PPP-DPM 2346 θλίβω ! θλίβω
2TH 1:7.5 ἄνεσιν N-ASF 425 ἄνεσις ! ἄνεσις
2TH 1:7.6 μεθ’ PREP 3326 μετά ! μετά
2TH 1:7.7 ἡμῶν P-1GP 2248 ἡμᾶς ! ἐγώ
2TH 1:7.8 ἐν PREP 1722 ἐν ! ἐν
2TH 1:7.9 τῇ T-DSF 3588 ὁ ! ὁ
2TH 1:7.10 ἀποκαλύψει N-DSF 602 ἀποκάλυψις ! ἀποκάλυψις
2TH 1:7.11 τοῦ T-GSM 3588 ὁ ! ὁ
2TH 1:7.12 κυρίου N-GSM 2962 κύριος ! κύριος
2TH 1:7.13 Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2TH 1:7.14 ἀπ’ PREP 575 ἀπό ! ἀπό
2TH 1:7.15 οὐρανοῦ N-GSM 3772 οὐρανός ! οὐρανός
2TH 1:7.16 μετ’ PREP 3326 μετά ! μετά
2TH 1:7.17 ἀγγέλων N-GPM 32 ἄγγελος ! ἄγγελος
2TH 1:7.18 δυνάμεως N-GSF 1411 δύναμις ! δύναμις
2TH 1:7.19 αὐτοῦ P-GSM 846 αὐτός ! αὐτός
2TH 1:8.1 ἐν PREP 1722 ἐν ! ἐν
