1PE 1:5.11 ἀποκαλυφθῆναι V-APN 601 ἀποκαλύπτω ! ἀποκαλύπτω
1PE 1:5.12 ἐν PREP 1722 ἐν ! ἐν
1PE 1:5.13 καιρῷ N-DSM 2540 καιρός ! καιρός
1PE 1:5.14 ἐσχάτῳ. A-DSM-S 2078 ἔσχατος ! ἔσχατος
1PE 1:6.1 ἐν PREP 1722 ἐν ! ἐν
1PE 1:6.2 ᾧ R-DSN 3739 ὅς ! ὅς
1PE 1:6.3 ἀγαλλιᾶσθε, V-PNI-2P 21 ἀγαλλιάω ! ἀγαλλιάω
1PE 1:6.4 ὀλίγον A-ASM 3641 ὀλίγος ! ὀλίγος
1PE 1:6.5 ἄρτι ADV 737 ἄρτι ! ἄρτι
1PE 1:6.6 εἰ COND 1487 εἰ ! εἰ
1PE 1:6.7 δέον V-PAP-NSN 1163 δεῖ ! δεῖ
1PE 1:6.8 λυπηθέντες V-APP-NPM 3076 λυπέω ! λυπέω
1PE 1:6.9 ἐν PREP 1722 ἐν ! ἐν
1PE 1:6.10 ποικίλοις A-DPM 4164 ποικίλος ! ποικίλος
1PE 1:6.11 πειρασμοῖς, N-DPM 3986 πειρασμός ! πειρασμός
1PE 1:7.1 ἵνα CONJ 2443 ἵνα ! ἵνα
1PE 1:7.2 τὸ T-NSN 3588 ὁ ! ὁ
1PE 1:7.3 δοκίμιον N-NSN 1383 δοκίμιον ! δοκίμιον
1PE 1:7.4 ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
1PE 1:7.5 τῆς T-GSF 3588 ὁ ! ὁ
1PE 1:7.6 πίστεως N-GSF 4102 πίστις ! πίστις
1PE 1:7.7 πολυτιμότερον A-NSN-C 4186 πολύτιμος ! πολύτιμος
1PE 1:7.8 χρυσίου N-GSN 5553 χρυσίον ! χρυσίον
1PE 1:7.9 τοῦ T-GSN 3588 ὁ ! ὁ
1PE 1:7.10 ἀπολλυμένου, V-PMP-GSN 622 ἀπόλλυμι ! ἀπόλλυμι
1PE 1:7.11 διὰ PREP 1223 διά ! διά
1PE 1:7.12 πυρὸς N-GSN 4442 πῦρ ! πῦρ
1PE 1:7.13 δὲ CONJ 1161 δέ ! δέ
1PE 1:7.14 δοκιμαζομένου, V-PPP-GSN 1381 δοκιμάζω ! δοκιμάζω
1PE 1:7.15 εὑρεθῇ V-APS-3S 2147 εὑρίσκω ! εὑρίσκω
1PE 1:7.16 εἰς PREP 1519 εἰς ! εἰς
1PE 1:7.17 ἔπαινον N-ASM 1868 ἔπαινος ! ἔπαινος
1PE 1:7.18 καὶ CONJ 2532 καί ! καί
1PE 1:7.19 δόξαν N-ASF 1391 δόξα ! δόξα
1PE 1:7.20 καὶ CONJ 2532 καί ! καί
1PE 1:7.21 τιμὴν N-ASF 5092 τιμή ! τιμή
1PE 1:7.22 ἐν PREP 1722 ἐν ! ἐν
1PE 1:7.23 ἀποκαλύψει N-DSF 602 ἀποκάλυψις ! ἀποκάλυψις
1PE 1:7.24 Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
1PE 1:7.25 Χριστοῦ. N-GSM 5547 Χριστός ! Χριστός
1PE 1:8.1 ὃν R-ASM 3739 ὅς ! ὅς
1PE 1:8.2 οὐκ PRT-N 3756 οὐ ! οὐ
1PE 1:8.3 ἰδόντες V-2AAP-NPM 3708 ὁράω ! ὁράω
1PE 1:8.4 ἀγαπᾶτε, V-PAI-2P 25 ἀγαπάω ! ἀγαπάω
1PE 1:8.5 εἰς PREP 1519 εἰς ! εἰς
1PE 1:8.6 ὃν R-ASM 3739 ὅς ! ὅς
1PE 1:8.7 ἄρτι ADV 737 ἄρτι ! ἄρτι
1PE 1:8.8 μὴ PRT-N 3361 μή ! μή
1PE 1:8.9 ὁρῶντες V-PAP-NPM 3708 ὁράω ! ὁράω
1PE 1:8.10 πιστεύοντες V-PAP-NPM 4100 πιστεύω ! πιστεύω
1PE 1:8.11 δὲ CONJ 1161 δέ ! δέ
1PE 1:8.12 ἀγαλλιᾶσθε V-PAM-2P 21 ἀγαλλιάω ! ἀγαλλιάω
1PE 1:8.13 χαρᾷ N-DSF 5479 χαρά ! χαρά
1PE 1:8.14 ἀνεκλαλήτῳ A-DSF 412 ἀνεκλάλητος ! ἀνεκλάλητος
1PE 1:8.15 καὶ CONJ 2532 καί ! καί
1PE 1:8.16 δεδοξασμένῃ, V-RPP-DSF 1392 δοξάζω ! δοξάζω
1PE 1:9.1 κομιζόμενοι V-PMP-NPM 2865 κομίζω ! κομίζω
1PE 1:9.2 τὸ T-ASN 3588 ὁ ! ὁ
1PE 1:9.3 τέλος N-ASN 5056 τέλος ! τέλος
1PE 1:9.4 τῆς T-GSF 3588 ὁ ! ὁ
1PE 1:9.5 πίστεως N-GSF 4102 πίστις ! πίστις
1PE 1:9.6 ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
1PE 1:9.7 σωτηρίαν N-ASF 4991 σωτηρία ! σωτηρία
1PE 1:9.8 ψυχῶν. N-GPF 5590 ψυχή ! ψυχή
1PE 1:10.1 περὶ PREP 4012 περί ! περί
1PE 1:10.2 ἧς R-GSF 3739 ὅς ! ὅς
1PE 1:10.3 σωτηρίας N-GSF 4991 σωτηρία ! σωτηρία
1PE 1:10.4 ἐξεζήτησαν V-AAI-3P 1567 ἐκζητέω ! ἐκζητέω
1PE 1:10.5 καὶ CONJ 2532 καί ! καί
1PE 1:10.6 ἐξηραύνησαν V-AAI-3P 1830 ἐξερευνάω ! ἐξεραυνάω
1PE 1:10.7 προφῆται N-NPM 4396 προφήτης ! προφήτης
1PE 1:10.8 οἱ T-NPM 3588 ὁ ! ὁ
1PE 1:10.9 περὶ PREP 4012 περί ! περί
1PE 1:10.10 τῆς T-GSF 3588 ὁ ! ὁ
1PE 1:10.11 εἰς PREP 1519 εἰς ! εἰς
1PE 1:10.12 ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
1PE 1:10.13 χάριτος N-GSF 5485 χάρις ! χάρις
1PE 1:10.14 προφητεύσαντες, V-AAP-NPM 4395 προφητεύω ! προφητεύω
1PE 1:11.1 ἐραυνῶντες V-PAP-NPM 2045 ἐρευνάω ! ἐραυνάω
1PE 1:11.2 εἰς PREP 1519 εἰς ! εἰς
1PE 1:11.3 τίνα I-ASM 5101 τίς ! τίς
1PE 1:11.4 ἢ PRT 2228 ἤ ! ἤ
1PE 1:11.5 ποῖον I-ASM 4169 ποῖος ! ποῖος
1PE 1:11.6 καιρὸν N-ASM 2540 καιρός ! καιρός
1PE 1:11.7 ἐδήλου V-IAI-3S 1213 δηλόω ! δηλόω
1PE 1:11.8 τὸ T-NSN 3588 ὁ ! ὁ
1PE 1:11.9 ἐν PREP 1722 ἐν ! ἐν
1PE 1:11.10 αὐτοῖς P-DPM 846 αὐτός ! αὐτός
1PE 1:11.11 πνεῦμα N-NSN 4151 πνεῦμα ! πνεῦμα
1PE 1:11.12 Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
1PE 1:11.13 προμαρτυρόμενον V-PNP-NSN 4303 προμαρτύρομαι ! προμαρτύρομαι
1PE 1:11.14 τὰ T-APN 3588 ὁ ! ὁ
1PE 1:11.15 εἰς PREP 1519 εἰς ! εἰς
1PE 1:11.16 Χριστὸν N-ASM 5547 Χριστός ! Χριστός
1PE 1:11.17 παθήματα N-APN 3804 πάθημα ! πάθημα
1PE 1:11.18 καὶ CONJ 2532 καί ! καί
1PE 1:11.19 τὰς T-APF 3588 ὁ ! ὁ
1PE 1:11.20 μετὰ PREP 3326 μετά ! μετά
1PE 1:11.21 ταῦτα D-APN 3778 οὗτος ! οὗτος
1PE 1:11.22 δόξας· N-APF 1391 δόξα ! δόξα
1PE 1:12.1 οἷς R-DPM 3739 ὅς ! ὅς
1PE 1:12.2 ἀπεκαλύφθη V-API-3S 601 ἀποκαλύπτω ! ἀποκαλύπτω
1PE 1:12.3 ὅτι CONJ 3754 ὅτι ! ὅτι
1PE 1:12.4 οὐχ PRT-N 3756 οὐ ! οὐ
1PE 1:12.5 ἑαυτοῖς F-3DPM 1438 ἑαυτοῦ ! ἑαυτοῦ
1PE 1:12.6 ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
1PE 1:12.7 δὲ CONJ 1161 δέ ! δέ
1PE 1:12.8 διηκόνουν V-IAI-3P 1247 διακονέω ! διακονέω
1PE 1:12.9 αὐτά, P-APN 846 αὐτός ! αὐτός
1PE 1:12.10 ἃ R-APN 3739 ὅς ! ὅς
1PE 1:12.11 νῦν ADV 3568 νῦν ! νῦν
1PE 1:12.12 ἀνηγγέλη V-2API-3S 312 ἀναγγέλλω ! ἀναγγέλλω
1PE 1:12.13 ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
1PE 1:12.14 διὰ PREP 1223 διά ! διά
1PE 1:12.15 τῶν T-GPM 3588 ὁ ! ὁ
1PE 1:12.16 εὐαγγελισαμένων V-AMP-GPM 2097 εὐαγγελίζω ! εὐαγγελίζω
1PE 1:12.17 ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
1PE 1:12.18 ἐν PREP 1722 ἐν ! ἐν
1PE 1:12.19 πνεύματι N-DSN 4151 πνεῦμα ! πνεῦμα
1PE 1:12.20 ἁγίῳ A-DSN 40 ἅγιος ! ἅγιος
