RO 1:1.1 Παῦλος N-NSM 3972 Παῦλος ! Παῦλος
RO 1:1.2 δοῦλος N-NSM 1401 δοῦλος ! δοῦλος (2)
RO 1:1.3 Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
RO 1:1.4 Ἰησοῦ, N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
RO 1:1.5 κλητὸς A-NSM 2822 κλητός ! κλητός
RO 1:1.6 ἀπόστολος N-NSM 652 ἀπόστολος ! ἀπόστολος
RO 1:1.7 ἀφωρισμένος V-RPP-NSM 873 ἀφορίζω ! ἀφορίζω
RO 1:1.8 εἰς PREP 1519 εἰς ! εἰς
RO 1:1.9 εὐαγγέλιον N-ASN 2098 εὐαγγέλιον ! εὐαγγέλιον
RO 1:1.10 θεοῦ, N-GSM 2316 θεός ! θεός
RO 1:2.1 ὃ R-ASN 3739 ὅς ! ὅς
RO 1:2.2 προεπηγγείλατο V-ADI-3S 4279 προεπαγγέλλομαι ! προεπαγγέλλω
RO 1:2.3 διὰ PREP 1223 διά ! διά
RO 1:2.4 τῶν T-GPM 3588 ὁ ! ὁ
RO 1:2.5 προφητῶν N-GPM 4396 προφήτης ! προφήτης
RO 1:2.6 αὐτοῦ P-GSM 846 αὐτός ! αὐτός
RO 1:2.7 ἐν PREP 1722 ἐν ! ἐν
RO 1:2.8 γραφαῖς N-DPF 1124 γραφή ! γραφή
RO 1:2.9 ἁγίαις, A-DPF 40 ἅγιος ! ἅγιος
RO 1:3.1 περὶ PREP 4012 περί ! περί
RO 1:3.2 τοῦ T-GSM 3588 ὁ ! ὁ
RO 1:3.3 υἱοῦ N-GSM 5207 υἱός ! υἱός
RO 1:3.4 αὐτοῦ P-GSM 846 αὐτός ! αὐτός
RO 1:3.5 τοῦ T-GSM 3588 ὁ ! ὁ
RO 1:3.6 γενομένου V-2ADP-GSM 1096 γίνομαι ! γίνομαι
RO 1:3.7 ἐκ PREP 1537 ἐκ ! ἐκ
RO 1:3.8 σπέρματος N-GSN 4690 σπέρμα ! σπέρμα
RO 1:3.9 Δαυεὶδ N-PRI 1138 Δαβίδ ! Δαυίδ
RO 1:3.10 κατὰ PREP 2596 κατά ! κατά
RO 1:3.11 σάρκα, N-ASF 4561 σάρξ ! σάρξ
RO 1:4.1 τοῦ T-GSM 3588 ὁ ! ὁ
RO 1:4.2 ὁρισθέντος V-APP-GSM 3724 ὁρίζω ! ὁρίζω
RO 1:4.3 υἱοῦ N-GSM 5207 υἱός ! υἱός
RO 1:4.4 θεοῦ N-GSM 2316 θεός ! θεός
RO 1:4.5 ἐν PREP 1722 ἐν ! ἐν
RO 1:4.6 δυνάμει N-DSF 1411 δύναμις ! δύναμις
RO 1:4.7 κατὰ PREP 2596 κατά ! κατά
RO 1:4.8 πνεῦμα N-ASN 4151 πνεῦμα ! πνεῦμα
RO 1:4.9 ἁγιωσύνης N-GSF 42 ἁγιωσύνη ! ἁγιωσύνη
RO 1:4.10 ἐξ PREP 1537 ἐκ ! ἐκ
RO 1:4.11 ἀναστάσεως N-GSF 386 ἀνάστασις ! ἀνάστασις
RO 1:4.12 νεκρῶν, A-GPM 3498 νεκρός ! νεκρός
RO 1:4.13 Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
RO 1:4.14 Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
RO 1:4.15 τοῦ T-GSM 3588 ὁ ! ὁ
RO 1:4.16 κυρίου N-GSM 2962 κύριος ! κύριος
RO 1:4.17 ἡμῶν, P-1GP 2248 ἡμᾶς ! ἐγώ
RO 1:5.1 δι’ PREP 1223 διά ! διά
RO 1:5.2 οὗ R-GSM 3739 ὅς ! ὅς
RO 1:5.3 ἐλάβομεν V-2AAI-1P 2983 λαμβάνω ! λαμβάνω
RO 1:5.4 χάριν N-ASF 5485 χάρις ! χάρις
RO 1:5.5 καὶ CONJ 2532 καί ! καί
RO 1:5.6 ἀποστολὴν N-ASF 651 ἀποστολή ! ἀποστολή
RO 1:5.7 εἰς PREP 1519 εἰς ! εἰς
RO 1:5.8 ὑπακοὴν N-ASF 5218 ὑπακοή ! ὑπακοή
RO 1:5.9 πίστεως N-GSF 4102 πίστις ! πίστις
RO 1:5.10 ἐν PREP 1722 ἐν ! ἐν
RO 1:5.11 πᾶσιν A-DPN 3956 πᾶς ! πᾶς
RO 1:5.12 τοῖς T-DPN 3588 ὁ ! ὁ
RO 1:5.13 ἔθνεσιν N-DPN 1484 ἔθνος ! ἔθνος
RO 1:5.14 ὑπὲρ PREP 5228 ὑπέρ ! ὑπέρ
RO 1:5.15 τοῦ T-GSN 3588 ὁ ! ὁ
RO 1:5.16 ὀνόματος N-GSN 3686 ὄνομα ! ὄνομα
RO 1:5.17 αὐτοῦ, P-GSM 846 αὐτός ! αὐτός
RO 1:6.1 ἐν PREP 1722 ἐν ! ἐν
RO 1:6.2 οἷς R-DPN 3739 ὅς ! ὅς
RO 1:6.3 ἐστε V-PAI-2P 1510 εἰμί ! εἰμί
RO 1:6.4 καὶ CONJ 2532 καί ! καί
RO 1:6.5 ὑμεῖς P-2NP 5210 ὑμεῖς ! σύ
RO 1:6.6 κλητοὶ A-NPM 2822 κλητός ! κλητός
RO 1:6.7 Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
RO 1:6.8 Χριστοῦ, N-GSM 5547 Χριστός ! Χριστός
RO 1:7.1 πᾶσιν A-DPM 3956 πᾶς ! πᾶς
RO 1:7.2 τοῖς T-DPM 3588 ὁ ! ὁ
RO 1:7.3 οὖσιν V-PAP-DPM 1510 εἰμί ! εἰμί
RO 1:7.4 ἐν PREP 1722 ἐν ! ἐν
RO 1:7.5 Ῥώμῃ N-DSF 4516 Ῥώμη ! Ῥώμη
RO 1:7.6 ἀγαπητοῖς A-DPM 27 ἀγαπητός ! ἀγαπητός
RO 1:7.7 θεοῦ, N-GSM 2316 θεός ! θεός
RO 1:7.8 κλητοῖς A-DPM 2822 κλητός ! κλητός
RO 1:7.9 ἁγίοις· A-DPM 40 ἅγιος ! ἅγιος
RO 1:7.10 χάρις N-NSF 5485 χάρις ! χάρις
RO 1:7.11 ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
RO 1:7.12 καὶ CONJ 2532 καί ! καί
RO 1:7.13 εἰρήνη N-NSF 1515 εἰρήνη ! εἰρήνη
RO 1:7.14 ἀπὸ PREP 575 ἀπό ! ἀπό
RO 1:7.15 θεοῦ N-GSM 2316 θεός ! θεός
RO 1:7.16 πατρὸς N-GSM 3962 πατήρ ! πατήρ
RO 1:7.17 ἡμῶν P-1GP 2248 ἡμᾶς ! ἐγώ
RO 1:7.18 καὶ CONJ 2532 καί ! καί
RO 1:7.19 κυρίου N-GSM 2962 κύριος ! κύριος
RO 1:7.20 Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
RO 1:7.21 Χριστοῦ. N-GSM 5547 Χριστός ! Χριστός
RO 1:8.1 Πρῶτον ADV-S 4412 πρῶτον ! πρῶτος
RO 1:8.2 μὲν PRT 3303 μέν ! μέν
RO 1:8.3 εὐχαριστῶ V-PAI-1S 2168 εὐχαριστέω ! εὐχαριστέω
RO 1:8.4 τῷ T-DSM 3588 ὁ ! ὁ
RO 1:8.5 θεῶ N-DSM 2316 θεός ! θεός
RO 1:8.6 μου P-1GS 1473 ἐγώ ! ἐγώ
RO 1:8.7 διὰ PREP 1223 διά ! διά
RO 1:8.8 Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
RO 1:8.9 Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
RO 1:8.10 περὶ PREP 4012 περί ! περί
RO 1:8.11 πάντων A-GPM 3956 πᾶς ! πᾶς
RO 1:8.12 ὑμῶν, P-2GP 5210 ὑμεῖς ! σύ
RO 1:8.13 ὅτι CONJ 3754 ὅτι ! ὅτι
RO 1:8.14 ἡ T-NSF 3588 ὁ ! ὁ
RO 1:8.15 πίστις N-NSF 4102 πίστις ! πίστις
RO 1:8.16 ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
RO 1:8.17 καταγγέλλεται V-PPI-3S 2605 καταγγέλλω ! καταγγέλλω
RO 1:8.18 ἐν PREP 1722 ἐν ! ἐν
RO 1:8.19 ὅλῳ A-DSM 3650 ὅλος ! ὅλος
RO 1:8.20 τῷ T-DSM 3588 ὁ ! ὁ
RO 1:8.21 κόσμῳ. N-DSM 2889 κόσμος ! κόσμος
