1TI 1:6.4 ἐξετράπησαν V-2API-3P 1624 ἐκτρέπω ! ἐκτρέπω
1TI 1:6.5 εἰς PREP 1519 εἰς ! εἰς
1TI 1:6.6 ματαιολογίαν, N-ASF 3150 ματαιολογία ! ματαιολογία
1TI 1:7.1 θέλοντες V-PAP-NPM 2309 θέλω ! θέλω
1TI 1:7.2 εἶναι V-PAN 1510 εἰμί ! εἰμί
1TI 1:7.3 νομοδιδάσκαλοι, N-NPM 3547 νομοδιδάσκαλος ! νομοδιδάσκαλος
1TI 1:7.4 μὴ PRT-N 3361 μή ! μή
1TI 1:7.5 νοοῦντες V-PAP-NPM 3539 νοιέω ! νοέω
1TI 1:7.6 μήτε CONJ-N 3383 μήτε ! μήτε
1TI 1:7.7 ἃ R-APN 3739 ὅς ! ὅς
1TI 1:7.8 λέγουσιν V-PAI-3P 3004 λέγω ! λέγω
1TI 1:7.9 μήτε CONJ-N 3383 μήτε ! μήτε
1TI 1:7.10 περὶ PREP 4012 περί ! περί
1TI 1:7.11 τίνων I-GPN 5101 τίς ! τίς
1TI 1:7.12 διαβεβαιοῦνται. V-PNI-3P 1226 διαβεβαιόομαι ! διαβεβαιόομαι
1TI 1:8.1 οἴδαμεν V-RAI-1P 1492 εἴδω ! οἶδα
1TI 1:8.2 δὲ CONJ 1161 δέ ! δέ
1TI 1:8.3 ὅτι CONJ 3754 ὅτι ! ὅτι
1TI 1:8.4 καλὸς A-NSM 2570 καλός ! καλός
1TI 1:8.5 ὁ T-NSM 3588 ὁ ! ὁ
1TI 1:8.6 νόμος N-NSM 3551 νόμος ! νόμος
1TI 1:8.7 ἐάν COND 1437 ἐάν ! ἐάν
1TI 1:8.8 τις X-NSM 5100 τὶς ! τὶς
1TI 1:8.9 αὐτῷ P-DSM 846 αὐτός ! αὐτός
1TI 1:8.10 νομίμως ADV 3545 νομίμως ! νομίμως
1TI 1:8.11 χρῆται, V-PNS-3S 5530 χράομαι ! χράομαι
1TI 1:9.1 εἰδὼς V-RAP-NSM 1492 εἴδω ! οἶδα
1TI 1:9.2 τοῦτο, D-ASN 3778 οὗτος ! οὗτος
1TI 1:9.3 ὅτι CONJ 3754 ὅτι ! ὅτι
1TI 1:9.4 δικαίῳ A-DSM 1342 δίκαιος ! δίκαιος
1TI 1:9.5 νόμος N-NSM 3551 νόμος ! νόμος
1TI 1:9.6 οὐ PRT-N 3756 οὐ ! οὐ
1TI 1:9.7 κεῖται, V-PNI-3S 2749 κεῖμαι ! κεῖμαι
1TI 1:9.8 ἀνόμοις A-DPM 459 ἄνομος ! ἄνομος
1TI 1:9.9 δὲ CONJ 1161 δέ ! δέ
1TI 1:9.10 καὶ CONJ 2532 καί ! καί
1TI 1:9.11 ἀνυποτάκτοις, A-DPM 506 ἀνυπότακτος ! ἀνυπότακτος
1TI 1:9.12 ἀσεβέσι A-DPM 765 ἀσεβής ! ἀσεβής
1TI 1:9.13 καὶ CONJ 2532 καί ! καί
1TI 1:9.14 ἁμαρτωλοῖς, A-DPM 268 ἁμαρτωλός ! ἁμαρτωλός
1TI 1:9.15 ἀνοσίοις A-DPM 462 ἀνόσιος ! ἀνόσιος
1TI 1:9.16 καὶ CONJ 2532 καί ! καί
1TI 1:9.17 Βεβήλοις, A-DPM 952 βέβηλος ! βέβηλος
1TI 1:9.18 πατρολῴαις N-DPM 3964 πατραλῴας ! πατρολῴας
1TI 1:9.19 καὶ CONJ 2532 καί ! καί
1TI 1:9.20 μητρολῴαις, N-DPM 3389 μητραλῴας ! μητρολῴας
1TI 1:9.21 ἀνδροφόνοις, N-DPM 409 ἀνδροφόνος ! ἀνδροφόνος
1TI 1:10.1 πόρνοις, N-DPM 4205 πόρνος ! πόρνος
